Cat_ID_timepoint,Cat_ID,Owner_ID,date,dob,Age_years,Breed,Sex,BCS,MCS_combined,hypertensive_sbp,Hypertension,hypertensive_over.study,stHyp,1st_visit_date,1st_visit_age,Censor_visit_date,Censor_visit_age,baseline_dx
Cat001_0.5,Cat001,Own001,19/09/2017,10/11/2009,7.857631759,Non-pedigree,Male,7,NA,97.5,No,No,1,19/09/2017,7.857631759,24/08/2021,11.78644764,No
Cat002_0,Cat002,Own002,08/03/2017,19/03/2009,7.969883641,Non-pedigree,Male,7,30,119.4,No,No,1,08/03/2017,7.969883641,24/01/2024,14.85010267,No
Cat003_0,Cat003,Own003,08/03/2017,08/04/2009,7.915126626,Non-pedigree,Male,6,30,148.3,No,No,1,08/03/2017,7.915126626,08/03/2017,7.915126626,No
Cat004_0,Cat004,Own004,14/03/2017,24/04/2009,7.887748118,Non-pedigree,Female,6,30,149.5,No,No,1,14/03/2017,7.887748118,14/03/2017,7.887748118,No
Cat005_0,Cat005,Own005,28/03/2017,04/06/2009,7.813826146,Non-pedigree,Female,7,30,161.6,Yes,No,1,28/03/2017,7.813826146,22/11/2022,13.46748802,No
Cat006_0,Cat006,Own006,28/03/2017,21/09/2009,7.515400411,Pedigree,Male,4,21,153.4,No,Yes,2,28/03/2017,7.515400411,07/11/2019,10.12731006,No
Cat007_0,Cat007,Own007,19/04/2017,09/04/2010,7.028062971,Pedigree,Male,7,30,141.25,No,Yes,2,19/04/2017,7.028062971,15/06/2021,11.18412047,No
Cat008_0,Cat008,Own007,19/04/2017,09/04/2010,7.028062971,Pedigree,Female,6,30,118.8,No,No,1,19/04/2017,7.028062971,27/06/2023,13.21560575,No
Cat009_1,Cat009,Own008,19/06/2018,04/09/2009,8.788501027,Pedigree,Female,5,30,134,No,No,1,19/06/2018,8.788501027,19/06/2018,8.788501027,No
Cat010_0,Cat010,Own009,03/05/2017,24/06/2010,6.858316222,Non-pedigree,Male,7,30,130,No,No,1,03/05/2017,6.858316222,03/05/2017,6.858316222,No
Cat011_0,Cat011,Own010,09/05/2017,29/03/2010,7.112936345,Non-pedigree,Female,5,30,115.7,No,Yes,2,09/05/2017,7.112936345,08/02/2022,11.86584531,No
Cat012_0,Cat012,Own010,09/05/2017,29/03/2010,7.112936345,Non-pedigree,Female,4,30,108,No,No,1,09/05/2017,7.112936345,26/11/2019,9.661875428,No
Cat013_0,Cat013,Own011,16/05/2017,15/05/2010,7.003422313,Non-pedigree,Male,5,30,123,No,No,1,16/05/2017,7.003422313,24/05/2023,13.02395619,No
Cat014_0,Cat014,Own011,23/05/2017,15/05/2010,7.022587269,Non-pedigree,Female,7,30,99,No,No,1,23/05/2017,7.022587269,20/10/2022,12.43258042,No
Cat015_0,Cat015,Own012,31/05/2017,03/09/2007,9.741273101,Non-pedigree,Male,6,30,200,Yes,Yes,2,31/05/2017,9.741273101,31/05/2017,9.741273101,Yes
Cat016_0,Cat016,Own013,31/05/2017,10/03/2008,9.223819302,Pedigree,Male,6,30,140.2,No,No,1,31/05/2017,9.223819302,29/11/2018,10.72142368,No
Cat017_2,Cat017,Own014,25/04/2019,01/02/2008,11.22792608,Non-pedigree,Female,4,NA,115,No,No,1,25/04/2019,11.22792608,06/07/2022,14.4257358,No
Cat018_0,Cat018,Own015,06/06/2017,12/09/2008,8.73100616,Non-pedigree,Male,4,26,91.2,No,No,1,06/06/2017,8.73100616,05/12/2017,9.229295003,No
Cat019_0,Cat019,Own015,06/06/2017,12/09/2007,9.733059548,Non-pedigree,Female,4,26,120,No,No,1,06/06/2017,9.733059548,05/12/2017,10.23134839,No
Cat020_0,Cat020,Own015,06/06/2017,12/09/2008,8.73100616,Non-pedigree,Male,5,30,111.6,No,No,1,06/06/2017,8.73100616,05/12/2017,9.229295003,No
Cat021_0,Cat021,Own016,07/06/2017,12/09/2007,9.735797399,Non-pedigree,Male,7,30,115.2,No,No,1,07/06/2017,9.735797399,05/02/2020,12.39972621,No
Cat022_0,Cat022,Own017,13/06/2017,19/05/2007,10.0698152,Non-pedigree,Male,4,20,134.8,No,No,1,13/06/2017,10.0698152,13/06/2017,10.0698152,No
Cat023_0,Cat023,Own018,13/06/2017,10/09/2008,8.755646817,Non-pedigree,Male,5,30,122,No,No,1,13/06/2017,8.755646817,11/12/2019,11.24982888,No
Cat024_0,Cat024,Own019,20/06/2017,04/07/2010,6.962354552,Non-pedigree,Female,6,30,87,No,No,1,20/06/2017,6.962354552,22/08/2023,13.13347023,No
Cat025_0,Cat025,Own020,21/06/2017,22/06/2008,8.996577687,Non-pedigree,Male,4,30,98,No,No,1,21/06/2017,8.996577687,03/08/2021,13.11430527,No
Cat026_0,Cat026,Own021,21/06/2017,14/04/2008,9.185489391,Non-pedigree,Male,6,28,122.4,No,Yes,2,21/06/2017,9.185489391,29/06/2021,13.2073922,No
Cat027_0,Cat027,Own022,27/06/2017,04/02/2009,8.391512663,Non-pedigree,Female,5,30,162,Yes,No,1,27/06/2017,8.391512663,31/01/2023,13.98767967,No
Cat028_0,Cat028,Own023,05/07/2017,12/12/2007,9.563312799,Non-pedigree,Female,8,30,113.3,No,Yes,2,05/07/2017,9.563312799,09/08/2022,14.65845311,No
Cat029_0,Cat029,Own023,05/07/2017,12/12/2007,9.563312799,Non-pedigree,Female,7,NA,115,No,Yes,2,05/07/2017,9.563312799,09/08/2022,14.65845311,No
Cat030_0,Cat030,Own024,18/07/2017,20/12/2008,8.574948665,Non-pedigree,Female,6,24,134,No,No,1,18/07/2017,8.574948665,16/01/2023,14.07255305,No
Cat031_0,Cat031,Own025,18/07/2017,08/08/2007,9.943874059,Pedigree,Female,3,21,150.4,No,No,1,18/07/2017,9.943874059,18/07/2017,9.943874059,No
Cat032_0,Cat032,Own026,19/07/2017,10/07/2009,8.024640657,Non-pedigree,Male,4,30,173.75,Yes,Yes,2,19/07/2017,8.024640657,19/07/2017,8.024640657,Yes
Cat033_0,Cat033,Own027,19/07/2017,08/10/2007,9.779603012,Non-pedigree,Female,7,30,104,No,No,1,19/07/2017,9.779603012,01/02/2022,14.31895962,No
Cat034_0,Cat034,Own024,25/07/2017,25/07/2008,8.999315537,Non-pedigree,Female,8,30,137,No,Yes,2,25/07/2017,8.999315537,26/01/2022,13.50581793,No
Cat035_0,Cat035,Own028,25/07/2017,09/10/2008,8.791238877,Non-pedigree,Male,4,28,142.6,No,No,1,25/07/2017,8.791238877,01/06/2021,12.64339493,No
Cat036_0,Cat036,Own029,25/07/2017,12/02/2008,9.448323066,Non-pedigree,Female,6,26,146.6,No,No,1,25/07/2017,9.448323066,25/07/2017,9.448323066,No
Cat037_0,Cat037,Own030,01/08/2017,30/07/2007,10.00684463,Pedigree,Female,6,30,112,No,No,1,01/08/2017,10.00684463,01/08/2017,10.00684463,No
Cat038_0,Cat038,Own031,01/08/2017,05/10/2007,9.823408624,Non-pedigree,Male,4,30,152.5,No,Yes,2,01/08/2017,9.823408624,29/10/2020,13.06776181,No
Cat039_0,Cat039,Own004,02/08/2017,28/05/2010,7.181382615,Non-pedigree,Male,3,30,110,No,No,1,02/08/2017,7.181382615,12/09/2018,8.292950034,No
Cat040_1.5,Cat040,Own032,24/04/2019,27/08/2008,10.65571526,Non-pedigree,Female,5,NA,140,No,No,1,24/04/2019,10.65571526,24/01/2024,15.40862423,No
Cat041_0,Cat041,Own033,09/08/2017,30/10/2007,9.776865161,Non-pedigree,Female,5,30,110,No,No,1,09/08/2017,9.776865161,22/08/2023,15.8110883,No
Cat042_0,Cat042,Own034,09/08/2017,03/09/2007,9.932922656,Non-pedigree,Male,5,30,127,No,Yes,2,09/08/2017,9.932922656,18/01/2022,14.37645448,No
Cat043_0,Cat043,Own035,15/08/2017,01/01/2009,8.618754278,Non-pedigree,Female,4,30,108,No,No,1,15/08/2017,8.618754278,12/07/2023,14.52429843,No
Cat044_0,Cat044,Own036,16/08/2017,21/04/2009,8.320328542,Non-pedigree,Female,5,24,133,No,No,1,16/08/2017,8.320328542,08/08/2023,14.29705681,No
Cat045_0,Cat045,Own037,16/08/2017,08/04/2009,8.355920602,Non-pedigree,Male,7,NA,140,No,Yes,2,16/08/2017,8.355920602,28/07/2021,12.30390144,No
Cat046_0,Cat046,Own025,16/08/2017,08/08/2007,10.02327173,Pedigree,Female,6,30,121.5,No,No,1,16/08/2017,10.02327173,24/01/2023,15.46338125,No
Cat047_0,Cat047,Own038,22/08/2017,02/05/2009,8.306639288,Non-pedigree,Female,5,22,138.4,No,No,1,22/08/2017,8.306639288,22/08/2017,8.306639288,No
Cat048_0,Cat048,Own039,23/08/2017,19/07/2008,9.095140315,Non-pedigree,Male,5,30,108.3,No,Yes,2,23/08/2017,9.095140315,05/11/2020,12.29842574,No
Cat049_0,Cat049,Own040,30/08/2017,26/08/2007,10.01232033,Non-pedigree,Female,7,30,110.8,No,No,1,30/08/2017,10.01232033,08/10/2019,12.11772758,No
Cat050_0,Cat050,Own041,12/09/2017,23/10/2007,9.889117043,Non-pedigree,Female,5,26,98,No,No,1,12/09/2017,9.889117043,26/09/2019,11.92607803,No
Cat051_0,Cat051,Own042,12/09/2017,27/10/2008,8.876112252,Non-pedigree,Female,4,30,182,Yes,Yes,2,12/09/2017,8.876112252,12/09/2017,8.876112252,Yes
Cat052_0,Cat052,Own043,13/09/2017,20/12/2008,8.73100616,Non-pedigree,Female,6,30,136.2,No,No,1,13/09/2017,8.73100616,20/10/2022,13.83162218,No
Cat053_0,Cat053,Own044,19/09/2017,11/06/2010,7.274469541,Non-pedigree,Male,6,30,140,No,No,1,19/09/2017,7.274469541,06/12/2023,13.48665298,No
Cat054_0,Cat054,Own045,20/09/2017,10/08/2010,7.112936345,Non-pedigree,Male,6,28,129.4,No,No,1,20/09/2017,7.112936345,31/08/2023,13.0568104,No
Cat055_0,Cat055,Own046,20/09/2017,06/08/2010,7.123887748,Non-pedigree,Female,5,30,143.8,No,No,1,20/09/2017,7.123887748,27/08/2019,9.056810404,No
Cat056_0,Cat056,Own047,26/09/2017,26/03/2008,9.503080082,Non-pedigree,Male,4,30,111,No,Yes,2,26/09/2017,9.503080082,17/05/2022,14.14099932,No
Cat057_0,Cat057,Own048,27/09/2017,28/03/2008,9.500342231,Non-pedigree,Female,7,30,155,No,No,1,27/09/2017,9.500342231,27/09/2017,9.500342231,No
Cat058_0,Cat058,Own047,27/09/2017,27/09/2010,7.000684463,Non-pedigree,Male,4,30,120,No,No,1,27/09/2017,7.000684463,13/12/2023,13.21013005,No
Cat059_0,Cat059,Own049,03/10/2017,05/03/2008,9.579739904,Non-pedigree,Female,6,28,134,No,No,1,03/10/2017,9.579739904,24/10/2018,10.63655031,No
Cat060_0,Cat060,Own050,03/10/2017,16/09/2010,7.047227926,Non-pedigree,Female,7,30,135.6,No,No,1,03/10/2017,7.047227926,22/06/2021,10.7652293,No
Cat061_0,Cat061,Own047,04/10/2017,01/05/2009,8.427104723,Non-pedigree,Female,5,30,142,No,No,1,04/10/2017,8.427104723,31/10/2019,10.49965777,No
Cat062_0,Cat062,Own051,04/10/2017,09/08/2007,10.15468857,Non-pedigree,Female,6,30,110,No,No,1,04/10/2017,10.15468857,25/04/2018,10.71047228,No
Cat063_0,Cat063,Own052,24/10/2017,22/11/2007,9.921971253,Non-pedigree,Male,6,30,177.4,Yes,Yes,2,24/10/2017,9.921971253,24/10/2017,9.921971253,Yes
Cat064_0,Cat064,Own052,24/10/2017,01/08/2010,7.230663929,Non-pedigree,Female,8,26,120.6,No,No,1,24/10/2017,7.230663929,03/10/2019,9.171800137,No
Cat065_0,Cat065,Own053,24/10/2017,24/10/2008,8.999315537,Non-pedigree,Female,5,28,131,No,No,1,24/10/2017,8.999315537,01/11/2018,10.02053388,No
Cat066_0,Cat066,Own053,24/10/2017,24/10/2008,8.999315537,Non-pedigree,Female,4,21,124.2,No,No,1,24/10/2017,8.999315537,01/11/2018,10.02053388,No
Cat067_0,Cat067,Own047,31/10/2017,27/09/2010,7.093771389,Pedigree,Male,6,30,110.8,No,No,1,31/10/2017,7.093771389,25/01/2024,13.32785763,No
Cat068_0,Cat068,Own054,08/11/2017,26/09/2009,8.117727584,Non-pedigree,Male,7,NA,112,No,No,1,08/11/2017,8.117727584,12/12/2019,10.20944559,No
Cat069_0,Cat069,Own055,21/11/2017,26/12/2009,7.904175222,Pedigree,Male,6,30,157,No,No,1,21/11/2017,7.904175222,19/12/2023,13.97946612,No
Cat070_0,Cat070,Own056,21/11/2017,05/10/2009,8.128678987,Non-pedigree,Female,5,30,135.2,No,No,1,21/11/2017,8.128678987,14/11/2023,14.10814511,No
Cat071_1,Cat071,Own057,04/12/2018,20/10/2010,8.123203285,Non-pedigree,Female,4,30,109.6,No,No,1,04/12/2018,8.123203285,21/07/2021,10.75154004,No
Cat072_0,Cat072,Own058,05/12/2017,14/09/2010,7.225188227,Non-pedigree,Male,6,30,128.2,No,Yes,2,05/12/2017,7.225188227,01/02/2022,11.38398357,No
Cat073_0,Cat073,Own059,09/01/2018,31/01/2007,10.94045175,Non-pedigree,Male,7,30,107.2,No,No,1,09/01/2018,10.94045175,18/01/2022,14.96509,No
Cat074_0,Cat074,Own060,16/01/2018,01/05/2009,8.711841205,Non-pedigree,Male,8,30,132.4,No,No,1,16/01/2018,8.711841205,15/12/2022,13.62354552,No
Cat075_0,Cat075,Own061,17/01/2018,20/01/2011,6.99247091,Pedigree,Male,7,30,111.6,No,No,1,17/01/2018,6.99247091,06/04/2022,11.20876112,No
Cat076_0,Cat076,Own062,23/01/2018,16/04/2010,7.772758385,Non-pedigree,Female,7,30,130,No,Yes,2,23/01/2018,7.772758385,21/09/2022,12.43258042,No
Cat077_0,Cat077,Own063,24/01/2018,01/03/2010,7.901437372,Non-pedigree,Female,5,30,130.4,No,No,1,24/01/2018,7.901437372,19/10/2023,13.63449692,No
Cat078_0,Cat078,Own063,24/01/2018,01/03/2010,7.901437372,Non-pedigree,Female,8,28,140.8,No,Yes,2,24/01/2018,7.901437372,08/03/2022,12.01916496,No
Cat079_0,Cat079,Own064,24/01/2018,09/06/2009,8.62696783,Non-pedigree,Male,6,30,136,No,No,1,24/01/2018,8.62696783,10/01/2023,13.58795346,No
Cat080_0,Cat080,Own065,30/01/2018,15/05/2009,8.711841205,Pedigree,Male,5,24,114.4,No,No,1,30/01/2018,8.711841205,14/07/2020,11.16495551,No
Cat081_0.5,Cat081,Own066,25/07/2018,13/03/2008,10.36550308,Non-pedigree,Female,7,NA,155,No,Yes,2,25/07/2018,10.36550308,22/01/2019,10.86105407,No
Cat082_0,Cat082,Own067,30/01/2018,21/04/2008,9.776865161,Non-pedigree,Female,5,30,111.6,No,No,1,30/01/2018,9.776865161,10/07/2023,15.21697467,No
Cat083_0,Cat083,Own068,31/01/2018,05/02/2011,6.986995209,Non-pedigree,Male,4,23,161.74,Yes,Yes,2,31/01/2018,6.986995209,31/01/2018,6.986995209,Yes
Cat084_0,Cat084,Own068,31/01/2018,05/02/2011,6.986995209,Non-pedigree,Female,5,30,126.8,No,No,1,31/01/2018,6.986995209,29/01/2020,8.980150582,No
Cat085_0,Cat085,Own069,31/01/2018,06/01/2009,9.067761807,Non-pedigree,Female,6,30,139.6,No,No,1,31/01/2018,9.067761807,20/07/2020,11.53456537,No
Cat086_0,Cat086,Own070,06/02/2018,21/05/2010,7.715263518,Non-pedigree,Male,6,30,128,No,No,1,06/02/2018,7.715263518,26/07/2018,8.180698152,No
Cat087_0,Cat087,Own071,06/02/2018,01/04/2008,9.850787132,Non-pedigree,Male,6,30,127.6,No,No,1,06/02/2018,9.850787132,08/11/2023,15.60301164,No
Cat088_0,Cat088,Own072,13/02/2018,01/04/2008,9.869952088,Non-pedigree,Male,8,30,125.6,No,No,1,13/02/2018,9.869952088,13/02/2018,9.869952088,No
Cat089_0,Cat089,Own073,13/02/2018,01/05/2008,9.787816564,Non-pedigree,Male,7,26,142,No,No,1,13/02/2018,9.787816564,13/02/2018,9.787816564,No
Cat090_0,Cat090,Own074,14/02/2018,14/04/2010,7.838466804,Pedigree,Male,6,26,134,No,Yes,2,14/02/2018,7.838466804,08/07/2022,12.23271732,No
Cat091_0,Cat091,Own074,14/02/2018,14/04/2010,7.838466804,Pedigree,Male,5,26,121.5,No,No,1,14/02/2018,7.838466804,10/01/2023,12.74195756,No
Cat092_0,Cat092,Own075,20/02/2018,20/02/2009,8.999315537,Pedigree,Male,5,30,140,No,Yes,2,20/02/2018,8.999315537,03/08/2021,12.44900753,No
Cat093_0,Cat093,Own075,20/02/2018,20/04/2008,9.837097878,Non-pedigree,Male,5,30,120,No,No,1,20/02/2018,9.837097878,27/09/2023,15.43600274,No
Cat094_0,Cat094,Own075,20/02/2018,01/02/2009,9.051334702,Non-pedigree,Male,4,26,130,No,Yes,2,20/02/2018,9.051334702,09/02/2022,13.02121834,No
Cat095_0,Cat095,Own076,21/02/2018,01/03/2010,7.978097194,Non-pedigree,Male,4,28,120.4,No,Yes,2,21/02/2018,7.978097194,15/02/2022,11.96167009,No
Cat096_0,Cat096,Own077,27/02/2018,14/10/2010,7.37303217,Non-pedigree,Female,7,30,108.2,No,No,1,27/02/2018,7.37303217,23/11/2021,11.11019849,No
Cat097_0,Cat097,Own078,28/02/2018,18/09/2008,9.445585216,Non-pedigree,Male,3,24,177,Yes,No,1,28/02/2018,9.445585216,19/02/2019,10.4202601,No
Cat098_0,Cat098,Own079,13/03/2018,13/12/2009,8.246406571,Non-pedigree,Female,6,30,108,No,No,1,13/03/2018,8.246406571,11/10/2018,8.826830938,No
Cat099_0,Cat099,Own080,13/03/2018,14/07/2008,9.661875428,Non-pedigree,Male,4,30,127.5,No,No,1,13/03/2018,9.661875428,27/11/2019,11.37029432,No
Cat100_0,Cat100,Own068,14/03/2018,22/09/2009,8.473648186,Non-pedigree,Female,8,24,138.4,No,No,1,14/03/2018,8.473648186,24/09/2020,11.00616016,No
